Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,rhizome,IMPHY014811,alpha-Phellandrene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,rhizome,IMPHY014817,Aromadendrene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY014831,beta-Caryophyllene,"DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014835,(E)-beta-ocimene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,rhizome,IMPHY014836,beta-Sitosterol,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY014852,Camphene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/0972060x.2014.908746,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014876,7-epi-cis-Sesquisabinene hydrate,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY014907,6-Epi-beta-bisabolol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY014988,Limonene,"DOI:10.1002/ffj.2730040106,DOI:10.1002/ffj.2730070105,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,rhizome,IMPHY014990,Linoleic acid,ISBN:9770972795006
Curcuma aromatica,rhizome,IMPHY015022,Nerolidol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,rhizome,IMPHY015123,alpha-Copaene,DOI:10.1002/ffj.2730040106
Curcuma aromatica,rhizome,IMPHY016012,Allo-Aromadendrene,DOI:10.1002/ffj.2730070105
Curcuma aromatica,rhizome,IMPHY017883,"(4S,5S)-Germacrone-4,5-epoxide",ISBN:9788172362133
Curcuma aromatica,whole plant,IMPHY006214,"Germacr-1(10)-ene-5,8-dione",ISBN:9788172360481
Curcuma aromatica,,IMPHY000060,Myristic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY000636,Graminone B,ISBN:9788185042114
Curcuma aromatica,,IMPHY001430,"Bicyclo(4.1.0)heptan-3-one, 1-methyl-4-(1-methylethylidene)-7-(3-oxobutyl)-, (1S,6R,7R)-","ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY002232,Acetoxyneocurdione,ISBN:9788185042145
Curcuma aromatica,,IMPHY002533,(-)-beta-Curcumene,ISBN:9780387706375
Curcuma aromatica,,IMPHY002550,Neoprocurcumenol,ISBN:9788185042145
Curcuma aromatica,,IMPHY002576,Isocurcumadione,ISBN:9788185042145
Curcuma aromatica,,IMPHY002626,"(6Z)-6,10-dimethyl-3-propan-2-ylidenecyclodec-6-ene-1,4-dione","ISBN:9788172362140, ISBN:9788185042138"
Curcuma aromatica,,IMPHY002803,"2,3,5,6-Tetramethylpyrazine",ISBN:9788172362140
Curcuma aromatica,,IMPHY003768,"4,10-Epizedoarondiol",ISBN:9788185042138
Curcuma aromatica,,IMPHY003769,"(1S,3abeta,8abeta)-Octahydro-1beta,4beta-dihydroxy-7-isopropylidene-1,4-dimethylazulen-6(5H)-one","ISBN:9788172362140, ISBN:9788185042138"
Curcuma aromatica,,IMPHY004288,Epiprocurcumenol,ISBN:9788185042145
Curcuma aromatica,,IMPHY004302,Arachidonic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY004315,Procurcumenol,"ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY004631,Stearic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY006214,"Germacr-1(10)-ene-5,8-dione","ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY006463,Germacrone,"ISBN:9788172362140, ISBN:9788185042114, ISBN:9788185042138"
Curcuma aromatica,,IMPHY007327,Palmitic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY007427,Xanthorrhizol,"ISBN:9780387706375, ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY007574,Curcumin,PMID:17913483
Curcuma aromatica,,IMPHY010072,Eucalyptol,ISBN:9788172362140
Curcuma aromatica,,IMPHY010140,"(3E,7E,10E)-10-(1-hydroxypropan-2-ylidene)-3,7-dimethylcyclodeca-3,7-dien-1-one",ISBN:9788185042145
Curcuma aromatica,,IMPHY010611,Curzerene,"ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY010654,Methylzedoarondiol,"ISBN:9788172362140, ISBN:9788185042138"
Curcuma aromatica,,IMPHY010675,(6S)-6-methyl-5-(3-oxobutyl)-2-propan-2-ylidenecyclohept-4-en-1-one,ISBN:9788185042145
Curcuma aromatica,,IMPHY010677,Curcuphenol,"ISBN:9788172362140, ISBN:9788185042114"
Curcuma aromatica,,IMPHY011361,4-Methoxycinnamic acid,ISBN:9788172362140
Curcuma aromatica,,IMPHY011563,Curzerenone,ISBN:9788185042114
Curcuma aromatica,,IMPHY011586,"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene",ISBN:9788185042114
Curcuma aromatica,,IMPHY011590,d-Borneol,ISBN:9788172362140
Curcuma aromatica,,IMPHY011797,Oleic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY012060,(+)-Camphene,ISBN:9788172362140
Curcuma aromatica,,IMPHY012061,alpha-Pinene,ISBN:9788172362140
Curcuma aromatica,,IMPHY012147,beta-Pinene,ISBN:9788172362140
Curcuma aromatica,,IMPHY012279,alpha-Curcumene,ISBN:9780387706375
Curcuma aromatica,,IMPHY012723,Linolenic acid,ISBN:9770972795006
Curcuma aromatica,,IMPHY012970,Germacrane,ISBN:9788172362140
Curcuma aromatica,,IMPHY014699,D-Camphor,ISBN:9788172362140
Curcuma aromatica,,IMPHY014990,Linoleic acid,ISBN:9770972795006
Curcuma caesia,leaf,IMPHY003485,Myrcene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY006696,Methyleugenol,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY010072,Eucalyptol,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY010080,beta-Elemene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY011590,d-Borneol,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY012036,Camphor,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY012058,Linalool,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY012061,alpha-Pinene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY012147,beta-Pinene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY012160,alpha-Terpineol,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY014831,beta-Caryophyllene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,leaf,IMPHY014988,Limonene,DOI:10.1080/10412905.2004.9698664
Curcuma caesia,rhizome,IMPHY000094,Occidentalol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY000711,Bornylene,ISBN:9788172362140
Curcuma caesia,rhizome,IMPHY003962,beta-Guaiene,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY005618,Germacrene B,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY006145,p-Cymene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY006944,Estragole,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY007376,beta-Cubebene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY007840,Spathulenol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY008946,delta-Guaiene,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY009200,Rosifoliol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY009815,gamma-Curcumene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY010072,Eucalyptol,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781, ISBN:9788172362140, ISBN:9788185042114"
Curcuma caesia,rhizome,IMPHY010080,beta-Elemene,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY010126,Zingiberol,"ISBN:9788172362140, ISBN:9788185042138"
Curcuma caesia,rhizome,IMPHY011396,4-Carvomenthenol,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY011581,alpha-Selinene,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY011590,d-Borneol,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY011599,Terpinolene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY011686,(+)-Borneol,"ISBN:9788172362140, ISBN:9788185042114"
Curcuma caesia,rhizome,IMPHY011793,(+)-gamma-Cadinene,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY011818,"(Z,E)-alpha-Farnesene",DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY011890,Elemol,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY011957,(+)-delta-Cadinene,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY012036,Camphor,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY012058,Linalool,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY012060,(+)-Camphene,ISBN:9788172362140
Curcuma caesia,rhizome,IMPHY012118,Tropolone,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY012152,alpha-Fenchol,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY012160,alpha-Terpineol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY012178,p-Menthan-3-one,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY012279,alpha-Curcumene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY012381,ar-Turmerone,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY012625,"2,7-Dimethyloxepine",DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY012667,Caryophyllene oxide,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY012739,(Z)-beta-Ocimene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY012921,gamma-Elemene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY013093,delta-Elemene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY014002,"2,3-Naphthalenedione, 1,4-dihydro-1,1,4,4-tetramethyl-",DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY014690,(-)-Globulol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY014699,D-Camphor,"ISBN:9788172362133, ISBN:9788172362140"
Curcuma caesia,rhizome,IMPHY014708,beta-Selinene,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY014831,beta-Caryophyllene,"DOI:10.1002/ffj.1255,DOI:10.1080/0972060x.2014.884781"
Curcuma caesia,rhizome,IMPHY014835,(E)-beta-ocimene,ISBN:9788185042114
Curcuma caesia,rhizome,IMPHY014847,Bornyl acetate,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY014852,Camphene,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY014882,(+)-Linalool,ISBN:9788172362140
Curcuma caesia,rhizome,IMPHY014986,Ledol,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY015004,Menthone,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY015420,5-Nonanone,DOI:10.1002/ffj.1255
Curcuma caesia,rhizome,IMPHY016014,Isobornyl acetate,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY017221,"4-Dimethylamino-3,5-xylenol",DOI:10.1080/0972060x.2014.884781
Curcuma caesia,rhizome,IMPHY017549,6-methyl-1H-pteridin-2-one,DOI:10.1080/0972060x.2014.884781
Curcuma caesia,tuber,IMPHY014699,D-Camphor,ISBN:9788172361266
Curcuma caesia,,IMPHY000711,Bornylene,ISBN:9780387706375
Curcuma caesia,,IMPHY007853,Camphane,ISBN:9780387706375
Curcuma caesia,,IMPHY010049,Artesin[sesquiterpene],ISBN:9780387706375
Curcuma caesia,,IMPHY012036,Camphor,ISBN:9780387706375
Curcuma longa,flower,IMPHY000399,beta-Bisabolene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY002825,2-(4-Methylphenyl)propan-2-ol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY003485,Myrcene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY003567,alpha-Fenchene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY003982,gamma-Terpinene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY005042,Bisacumol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY005798,Curlone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY006145,p-Cymene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY006463,Germacrone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY006950,Tricyclene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY008150,1-Methyl-4-(prop-1-en-2-yl)benzene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY010072,Eucalyptol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY010677,Curcuphenol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011004,"p-Mentha-1,3,8-triene",DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011087,alpha-Turmerone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011392,3-Carene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011396,4-Carvomenthenol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011521,2-Undecanone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011557,4-Isopropylbenzyl alcohol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011599,Terpinolene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011643,alpha-Terpinene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011647,Geranyl acetate,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011658,beta-Farnesene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011745,Zingiberene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY011761,Humulene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012058,Linalool,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012061,alpha-Pinene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012147,beta-Pinene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012160,alpha-Terpineol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012165,Sabinene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012279,alpha-Curcumene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012381,ar-Turmerone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012589,"3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene",DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY012739,(Z)-beta-Ocimene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY014811,alpha-Phellandrene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY014831,beta-Caryophyllene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY014835,(E)-beta-ocimene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY014863,cis-alpha-Bergamotene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY014988,Limonene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY015022,Nerolidol,DOI:10.1080/10412905.2002.9699843
Curcuma longa,flower,IMPHY017919,Ar-dihydro-turmerone,DOI:10.1080/10412905.2002.9699843
Curcuma longa,leaf,IMPHY000084,2-Heptanol,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY000099,Myrtenol,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2005.9698993,DOI:10.1080/10412905.2006.9699056"
Curcuma longa,leaf,IMPHY000399,beta-Bisabolene,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1056,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843"
Curcuma longa,leaf,IMPHY001246,Carvacrol,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783"
Curcuma longa,leaf,IMPHY001351,Elemicin,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.1997.9700783"
Curcuma longa,leaf,IMPHY001553,Cinnamyl cinnamate,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY002533,(-)-beta-Curcumene,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY002825,2-(4-Methylphenyl)propan-2-ol,"DOI:10.1002/ffj.1056,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY002851,2-Decanol,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY003104,Decanoic acid,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY003485,Myrcene,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2004.9698664,DOI:10.1080/10412905.2005.9698993,DOI:10.1080/10412905.2006.9699056"
Curcuma longa,leaf,IMPHY003536,Eugenol,DOI:10.1080/10412905.2004.9698664
Curcuma longa,leaf,IMPHY003567,alpha-Fenchene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,leaf,IMPHY003789,Furanodienon,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY003840,(E)-Tagetenone,DOI:10.1080/10412905.2006.9699056
Curcuma longa,leaf,IMPHY003982,gamma-Terpinene,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.2730050206,DOI:10.1002/ffj.2730100604,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2005.9698993,DOI:10.1080/10412905.2006.9699056"
Curcuma longa,leaf,IMPHY004121,2-Heptanone,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY004151,Geranyl formate,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY004438,Geranyl butyrate,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY004549,Safrole,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY005042,Bisacumol,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY005521,1-Hexen-3-OL,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY005618,Germacrene B,DOI:10.1002/ffj.1780
Curcuma longa,leaf,IMPHY005653,2-Octanol,"DOI:10.1002/ffj.1780,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY005798,Curlone,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1056,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843"
Curcuma longa,leaf,IMPHY006145,p-Cymene,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1056,DOI:10.1002/ffj.1780,DOI:10.1002/ffj.2730050206,DOI:10.1002/ffj.2730100604,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2004.9698664,DOI:10.1080/10412905.2005.9698993,DOI:10.1080/10412905.2006.9699056"
Curcuma longa,leaf,IMPHY006214,"Germacr-1(10)-ene-5,8-dione","DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783"
Curcuma longa,leaf,IMPHY006324,Linalyl propionate,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY006325,Myrtenal,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1056,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY006463,Germacrone,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY006550,Thymol,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.1997.9700783"
Curcuma longa,leaf,IMPHY006696,Methyleugenol,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY006950,Tricyclene,DOI:10.1080/10412905.2002.9699843
Curcuma longa,leaf,IMPHY007067,Linalyl acetate,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY007069,4'-Methylacetophenone,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780,DOI:10.1080/10412905.2005.9698993,DOI:10.1080/10412905.2006.9699056"
Curcuma longa,leaf,IMPHY007110,Perilla ketone,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY008150,1-Methyl-4-(prop-1-en-2-yl)benzene,"DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2002.9699843"
Curcuma longa,leaf,IMPHY008936,alpha-Guaiene,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY009626,2-Nonanol,DOI:10.1002/ffj.1053
Curcuma longa,leaf,IMPHY009642,2-Nonanone,DOI:10.1002/ffj.1780
Curcuma longa,leaf,IMPHY009713,(Z)-Methyl jasmonate,DOI:10.1080/10412905.2006.9699056
Curcuma longa,leaf,IMPHY009732,cis-Carvotanacetol,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.1997.9700783,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY009740,Camphene hydrate,"DOI:10.1002/ffj.1053,DOI:10.1002/ffj.1780"
Curcuma longa,leaf,IMPHY009780,Heptyl salicylate,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY009858,1-Undecanol,"DOI:10.1002/ffj.1053,DOI:10.1080/10412905.2005.9698993"
Curcuma longa,leaf,IMPHY009866,2-(4-Methylphenyl)propan-1-ol,DOI:10.1080/10412905.2006.9699056
Curcuma longa,leaf,IMPHY009998,Geranyl hexanoate,DOI:10.1002/ffj.1053
